iter	Passed	Remaining
0	5	5220
1	9	4845
2	14	4883
3	19	4801
4	37	7429
5	45	7505
6	59	8492
7	68	8464
8	76	8371
9	84	8346
10	92	8281
11	99	8207
12	108	8234
13	116	8177
14	125	8244
15	132	8166
16	142	8232
17	151	8255
18	163	8426
19	170	8371
20	173	8095
21	181	8085
22	189	8033
23	195	7955
24	200	7812
25	205	7691
26	210	7591
27	215	7467
28	218	7300
29	223	7217
30	227	7123
31	232	7046
32	237	6967
33	242	6896
34	248	6859
35	256	6859
36	261	6797
37	265	6730
38	270	6675
39	275	6613
40	280	6572
41	285	6515
42	290	6471
43	295	6422
44	300	6385
45	306	6349
46	310	6302
47	315	6256
48	320	6220
49	325	6175
50	330	6142
51	336	6137
52	341	6096
53	346	6073
54	352	6054
55	358	6035
56	363	6006
57	370	6015
58	375	5984
59	379	5951
60	383	5902
61	388	5876
62	393	5849
63	398	5828
64	403	5802
65	408	5781
66	413	5757
67	418	5732
68	422	5702
69	427	5681
70	432	5654
71	437	5639
72	442	5615
73	446	5592
74	451	5568
75	456	5548
76	464	5565
77	469	5549
78	472	5509
79	477	5486
80	482	5474
81	487	5454
82	498	5512
83	504	5501
84	509	5483
85	514	5468
86	518	5444
87	523	5427
88	529	5415
89	534	5405
90	539	5385
91	544	5371
92	548	5353
93	553	5339
94	558	5319
95	563	5306
96	569	5297
97	593	5460
98	601	5470
99	607	5470
100	615	5479
101	625	5507
102	641	5587
103	650	5601
104	657	5608
105	668	5642
106	686	5728
107	698	5766
108	706	5777
109	714	5778
110	721	5780
111	735	5831
112	746	5856
113	753	5854
114	759	5847
115	765	5829
116	769	5810
117	775	5793
118	781	5784
119	795	5831
120	804	5846
121	809	5824
122	813	5801
123	818	5781
124	822	5760
125	828	5748
126	834	5733
127	838	5713
128	843	5698
129	848	5678
130	853	5663
131	858	5643
132	863	5628
133	868	5609
134	873	5595
135	877	5577
136	883	5563
137	889	5553
138	894	5539
139	899	5523
140	905	5517
141	910	5501
142	926	5551
143	934	5556
144	943	5561
145	951	5565
146	959	5566
147	968	5575
148	977	5583
149	986	5592
150	996	5604
151	1026	5725
152	1034	5726
153	1042	5728
154	1050	5725
155	1056	5718
156	1065	5723
157	1074	5724
158	1082	5726
159	1090	5722
160	1097	5716
161	1107	5726
162	1119	5749
163	1127	5747
164	1134	5740
165	1143	5742
166	1151	5741
167	1157	5733
168	1162	5716
169	1167	5701
170	1172	5683
171	1177	5670
172	1182	5654
173	1187	5638
174	1192	5621
175	1197	5608
176	1202	5591
177	1209	5583
178	1215	5576
179	1221	5563
180	1226	5548
181	1230	5532
182	1236	5519
183	1240	5502
184	1246	5489
185	1250	5473
186	1255	5458
187	1260	5443
188	1265	5430
189	1270	5415
190	1275	5403
191	1280	5388
192	1285	5375
193	1290	5360
194	1295	5346
195	1299	5332
196	1305	5319
197	1309	5305
198	1316	5298
199	1321	5284
200	1327	5276
201	1332	5264
202	1337	5249
203	1342	5239
204	1347	5224
205	1352	5214
206	1357	5199
207	1362	5187
208	1367	5174
209	1372	5164
210	1377	5152
211	1383	5140
212	1388	5129
213	1393	5116
214	1397	5103
215	1402	5089
216	1406	5076
217	1412	5065
218	1417	5053
219	1423	5045
220	1428	5033
221	1432	5021
222	1439	5016
223	1444	5004
224	1449	4993
225	1454	4981
226	1459	4969
227	1463	4956
228	1469	4946
229	1473	4933
230	1478	4923
231	1483	4911
232	1488	4901
233	1493	4889
234	1498	4878
235	1502	4865
236	1508	4855
237	1512	4842
238	1517	4832
239	1522	4821
240	1527	4811
241	1532	4799
242	1538	4792
243	1542	4780
244	1548	4770
245	1552	4758
246	1557	4748
247	1562	4737
248	1570	4735
249	1575	4726
250	1580	4714
251	1585	4706
252	1590	4695
253	1595	4686
254	1600	4675
255	1610	4679
256	1615	4671
257	1620	4660
258	1630	4664
259	1635	4655
260	1641	4648
261	1646	4637
262	1651	4627
263	1657	4619
264	1663	4613
265	1695	4677
266	1738	4772
267	1759	4805
268	1789	4862
269	1799	4866
270	1807	4861
271	1815	4859
272	1824	4858
273	1838	4870
274	1843	4860
275	1848	4848
276	1852	4836
277	1857	4823
278	1862	4813
279	1867	4801
280	1872	4790
281	1876	4778
282	1881	4768
283	1886	4757
284	1891	4746
285	1896	4733
286	1900	4722
287	1905	4711
288	1910	4701
289	1918	4698
290	1923	4686
291	1929	4678
292	1934	4668
293	1939	4658
294	1946	4651
295	1951	4640
296	1956	4631
297	1961	4621
298	1967	4611
299	1971	4600
300	1984	4607
301	1991	4601
302	1996	4592
303	2001	4581
304	2006	4571
305	2011	4561
306	2016	4552
307	2021	4541
308	2026	4531
309	2030	4520
310	2035	4510
311	2040	4499
312	2046	4490
313	2050	4479
314	2055	4470
315	2060	4460
316	2066	4453
317	2073	4446
318	2078	4436
319	2083	4427
320	2089	4418
321	2094	4409
322	2098	4398
323	2103	4389
324	2108	4379
325	2114	4370
326	2132	4388
327	2139	4382
328	2146	4378
329	2154	4375
330	2163	4372
331	2173	4372
332	2180	4368
333	2187	4362
334	2195	4358
335	2208	4364
336	2217	4362
337	2224	4357
338	2232	4353
339	2240	4349
340	2247	4342
341	2256	4341
342	2263	4336
343	2272	4332
344	2279	4328
345	2286	4322
346	2296	4321
347	2303	4316
348	2311	4312
349	2319	4307
350	2326	4301
351	2337	4303
352	2345	4298
353	2356	4299
354	2363	4293
355	2371	4290
356	2379	4284
357	2383	4274
358	2388	4265
359	2393	4255
360	2398	4245
361	2403	4236
362	2409	4227
363	2414	4218
364	2419	4208
365	2423	4198
366	2428	4188
367	2431	4175
